Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2009,05,NORTE DE SANTANDER,EL ZULIA,INUNDACION,90,183.1,28.2
2012,09,CAUCA,ARGELIA,SISMO,1600,126.5,20.5
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1229,182.9,22
2013,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2900,23.1,11.7
2006,05,BOYACA,PUERTO BOYACA,INUNDACION,350,251.3,27.8
2013,07,BOYACA,PAIPA,ACCIDENTE MINERO,2470,58.8,14.1
2012,02,NARINO,LA UNION,DESLIZAMIENTO,2314,209.3,14.8
2011,02,CUNDINAMARCA,SUTATAUSA,EXPLOSION,2700,55.5,13.7
2012,02,ANTIOQUIA,BELLO,INCENDIO ESTRUCTURAL,1438,53,22.2
2006,05,VALLE DEL CAUCA,FLORIDA,INUNDACION,1013,113.7,23.5
2010,11,CESAR,SAN MARTIN,INUNDACION,250,215.3,25.7
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2001,12,TOLIMA,IBAGUE,DESLIZAMIENTO,750,78.1,24.7
2001,09,RISARALDA,PEREIRA,INCENDIO FORESTAL,1342,195.9,21.5
2011,11,TOLIMA,IBAGUE,DESLIZAMIENTO,750,125.7,24.4
2013,05,CUNDINAMARCA,PARATEBUENO,INUNDACION,280,560.1,25.5
2012,07,HUILA,NEIVA,INCENDIO FORESTAL,1691,63.7,18.7
2013,06,CHOCO,MEDIO SAN JUAN,INCENDIO ESTRUCTURAL,40,511.6,26.1
2002,03,CHOCO,QUIBDO,INUNDACION,53,554.5,26.9
2010,11,CESAR,BECERRIL,INUNDACION,170,157.3,26.9
2009,06,BOLIVAR,MAGANGUE,VENDAVAL,18,151.2,28.1
2002,10,LA GUAJIRA,FONSECA,INUNDACION,170,111,27.6
2011,11,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,95.3,13.8
2002,01,META,LA MACARENA,INCENDIO FORESTAL,350,43.5,26.8
