Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2012,09,QUINDIO,CALARCA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2001,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
2012,09,CAQUETA,FLORENCIA,DESLIZAMIENTO,0-500,200-300,20-25
2006,11,META,VILLAVICENCIO,INUNDACION,0-500,400-500,25-30
2013,05,CUNDINAMARCA,NEMOCON,INUNDACION,2500-3000,0-100,10-15
2010,11,META,RESTREPO,VENDAVAL,1000-1500,100-200,15-20
2011,12,CUNDINAMARCA,ANAPOIMA,INUNDACION,500-1000,0-100,20-25
2012,07,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,500-1000,0-100,25-30
2006,05,ANTIOQUIA,NECOCLI,INUNDACION,0-500,200-300,25-30
2010,02,NORTE DE SANTANDER,OCANA,SEQUIA,1000-1500,0-100,20-25
2012,09,TOLIMA,DOLORES,INCENDIO FORESTAL,1000-1500,0-100,20-25
2011,07,CALDAS,MANIZALES,INUNDACION,2000-2500,0-100,15-20
2013,10,TOLIMA,CHAPARRAL,INCENDIO FORESTAL,1000-1500,300-400,20-25
2007,11,CAUCA,LA SIERRA,DESLIZAMIENTO,1500-2000,300-400,15-20
2002,07,RISARALDA/CALDAS,SANTA ROSA DE CABAL,INCENDIO FORESTAL,1500-2000,100-200,20-25
2007,10,ATLANTICO,REPELON,INUNDACION,0-500,100-200,25-30
2013,01,CUNDINAMARCA,CHOCONTA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2011,08,RISARALDA,PEREIRA,COLAPSO,1000-1500,100-200,20-25
1998,08,CORDOBA,CHIMA,INUNDACION,1000-1500,200-300,20-25
2013,01,HUILA,PITALITO,INCENDIO FORESTAL,1000-1500,0-100,20-25
2008,12,CAUCA,PIENDAMO,DESLIZAMIENTO,1500-2000,200-300,15-20
1998,06,ARAUCA,ARAUCA,INUNDACION,0-500,300-400,25-30
1999,02,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2000-2500,100-200,15-20
2005,05,META,VILLAVICENCIO,INUNDACION,0-500,600-700,25-30
2011,12,PUTUMAYO,MOCOA,INUNDACION,500-1000,200-300,20-25
2013,01,CESAR,VALLEDUPAR,INCENDIO FORESTAL,0-500,0-100,25-30
2011,12,CHOCO,RIO QUITO,INUNDACION,0-500,500-600,25-30
1999,12,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
2010,12,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
2013,08,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2008,05,CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
2006,04,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1000-1500,300-400,20-25
2007,11,SUCRE,MAJAGUAL,INUNDACION,0-500,200-300,25-30
2003,04,ATLANTICO,BARRANQUILLA,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
2011,04,QUINDIO,ARMENIA,INUNDACION,1000-1500,200-300,20-25
2012,08,MAGDALENA,PIVIJAY,VENDAVAL,0-500,100-200,25-30
2009,07,CORDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,0-500,0-100,25-30
2008,08,CHOCO,SAN JOSE DEL PALMAR,DESLIZAMIENTO,1000-1500,200-300,20-25
2012,12,NARINO,MOSQUERA,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2013,07,CAUCA,SAN SEBASTIAN,AVALANCHA,2500-3000,0-100,10-15
2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
2013,06,NARINO,BARBACOAS,DESLIZAMIENTO,1000-1500,300-400,20-25
1999,11,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2012,09,CAQUETA,SOLANO,VENDAVAL,0-500,200-300,25-30
2011,04,RISARALDA,SANTUARIO,DESLIZAMIENTO,1500-2000,200-300,15-20
2006,04,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,0-500,200-300,25-30
2006,05,META,VILLAVICENCIO,INUNDACION,0-500,600-700,25-30
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2012,05,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
2012,04,CORDOBA,LORICA,INUNDACION,0-500,0-100,25-30
2005,03,SANTANDER,PUERTO WILCHES,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
2012,04,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,200-300,25-30
2013,01,HUILA,SUAZA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2010,01,RISARALDA,PEREIRA,VENDAVAL,1000-1500,100-200,20-25
1998,10,CAQUETA,PUERTO RICO,INUNDACION,0-500,300-400,25-30
2012,11,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
2010,11,NORTE DE SANTANDER,TEORAMA,AVALANCHA,1000-1500,100-200,20-25
2010,12,SANTANDER,VILLANUEVA,INUNDACION,0-500,0-100,25-30
2010,12,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,100-200,20-25
2011,11,QUINDIO,CALARCA,DESLIZAMIENTO,1000-1500,300-400,15-20
2012,09,ANTIOQUIA,REMEDIOS,VENDAVAL,500-1000,300-400,20-25
2012,06,VICHADA,PUERTO CARRENO,INUNDACION,0-500,400-500,25-30
1999,09,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2000-2500,200-300,10-15
2013,09,NARINO,PASTO,DESLIZAMIENTO,2500-3000,0-100,10-15
2013,09,BOYACA,BUENAVISTA,VENDAVAL,2000-2500,100-200,15-20
2006,01,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2002,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2013,09,ARAUCA,ARAUCA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
1998,03,BOLIVAR,VILLANUEVA,SEQUIA,0-500,100-200,25-30
1999,04,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,1500-2000,200-300,20-25
2011,09,CORDOBA,CIENAGA DE ORO,VENDAVAL,0-500,100-200,25-30
2010,10,VALLE DEL CAUCA,SEVILLA,VENDAVAL,1500-2000,300-400,15-20
2011,10,TOLIMA,ATACO,INUNDACION,500-1000,300-400,25-30
2011,11,QUINDIO,CALARCA,VENDAVAL,1000-1500,300-400,15-20
2009,11,HUILA,GARZON,VENDAVAL,1000-1500,100-200,20-25
2012,08,HUILA,GARZON,INCENDIO FORESTAL,1000-1500,0-100,15-20
2005,11,SANTANDER,CIMITARRA,INUNDACION,0-500,300-400,25-30
2011,03,AMAZONAS,LETICIA,DESLIZAMIENTO,0-500,300-400,25-30
2009,08,META,VILLAVICENCIO,INUNDACION,0-500,300-400,20-25
2012,04,BOYACA,PAIPA,INUNDACION,2000-2500,100-200,15-20
2010,12,ANTIOQUIA,ARGELIA,INUNDACION,1500-2000,0-100,20-25
2013,05,QUINDIO,ARMENIA,VARIOS,1000-1500,200-300,20-25
1999,11,CALDAS,MANIZALES,INUNDACION,2000-2500,100-200,15-20
2012,03,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
2005,10,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,0-500,700-800,25-30
2011,04,NORTE DE SANTANDER,TEORAMA,INUNDACION,1000-1500,100-200,20-25
2009,05,NORTE DE SANTANDER,EL ZULIA,INUNDACION,0-500,100-200,25-30
2012,09,CAUCA,ARGELIA,SISMO,1500-2000,100-200,20-25
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2013,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2006,05,BOYACA,PUERTO BOYACA,INUNDACION,0-500,200-300,25-30
2013,07,BOYACA,PAIPA,ACCIDENTE MINERO,2000-2500,0-100,10-15
2012,02,NARINO,LA UNION,DESLIZAMIENTO,2000-2500,200-300,10-15
2011,02,CUNDINAMARCA,SUTATAUSA,EXPLOSION,2500-3000,0-100,10-15
2012,02,ANTIOQUIA,BELLO,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
2006,05,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,100-200,20-25
2010,11,CESAR,SAN MARTIN,INUNDACION,0-500,200-300,25-30
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2001,12,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,20-25
2001,09,RISARALDA,PEREIRA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2011,11,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
2013,05,CUNDINAMARCA,PARATEBUENO,INUNDACION,0-500,500-600,25-30
2012,07,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
2013,06,CHOCO,MEDIO SAN JUAN,INCENDIO ESTRUCTURAL,0-500,500-600,25-30
2002,03,CHOCO,QUIBDO,INUNDACION,0-500,500-600,25-30
2010,11,CESAR,BECERRIL,INUNDACION,0-500,100-200,25-30
2009,06,BOLIVAR,MAGANGUE,VENDAVAL,0-500,100-200,25-30
2002,10,LA GUAJIRA,FONSECA,INUNDACION,0-500,100-200,25-30
2011,11,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2002,01,META,LA MACARENA,INCENDIO FORESTAL,0-500,0-100,25-30
2012,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
2005,12,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,600-700,25-30
2005,05,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
2011,06,VALLE DEL CAUCA,CALI,COLAPSO,500-1000,0-100,25-30
2012,11,QUINDIO,ARMENIA,VENDAVAL,1000-1500,200-300,20-25
2008,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
2008,12,CAUCA,PUERTO TEJADA,INUNDACION,1000-1500,100-200,20-25
2007,06,TOLIMA,CHAPARRAL,INUNDACION,1000-1500,100-200,20-25
2012,01,META,VISTAHERMOSA,INUNDACION,0-500,0-100,25-30
2005,02,SANTANDER,ZAPATOCA,INUNDACION,1500-2000,0-100,15-20
2013,02,SUCRE,SAN BENITO ABAD,VENDAVAL,0-500,0-100,25-30
2012,09,RISARALDA,SANTUARIO,SEQUIA,1500-2000,100-200,15-20
2013,06,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
2011,05,ANTIOQUIA,MUTATA,INUNDACION,0-500,600-700,25-30
2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2008,12,HUILA,SANTA MARIA,INUNDACION,1000-1500,100-200,20-25
2012,08,CUNDINAMARCA,VENECIA,INCENDIO FORESTAL,1500-2000,200-300,20-25
2008,11,NARINO,CONSACA,INUNDACION,1000-1500,100-200,15-20
2008,07,CORDOBA,SAHAGUN,INUNDACION,0-500,100-200,25-30
2008,11,BOLIVAR,ARJONA,INUNDACION,0-500,100-200,25-30
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2012,03,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,300-400,25-30
2002,01,CHOCO,LLORO,INUNDACION,0-500,500-600,25-30
2013,01,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,0-500,0-100,25-30
2007,07,TOLIMA,PURIFICACION,INUNDACION,0-500,0-100,25-30
2013,07,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
2009,11,VALLE DEL CAUCA,BUENAVENTURA,AVALANCHA,0-500,700-800,25-30
2010,07,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
2001,08,ANTIOQUIA,MEDELLIN,INCENDIO FORESTAL,1000-1500,100-200,20-25
2008,08,CUNDINAMARCA,PUERTO SALGAR,VENDAVAL,0-500,0-100,25-30
2013,03,PUTUMAYO,PUERTO LEGUIZAMO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
2011,10,CUNDINAMARCA,CABRERA,INUNDACION,2000-2500,100-200,15-20
2012,03,ATLANTICO,BARRANQUILLA,COLAPSO,0-500,0-100,25-30
2012,01,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2005,09,TOLIMA,HONDA,INUNDACION,0-500,100-200,25-30
2003,09,ATLANTICO,BARRANQUILLA,VENDAVAL,0-500,100-200,25-30
2010,04,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2009,02,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,0-100,25-30
2013,09,LA GUAJIRA,URIBIA,INUNDACION,0-500,0-100,25-30
2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
2011,02,CUNDINAMARCA,PANDI,VENDAVAL,500-1000,0-100,20-25
2011,09,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,600-700,25-30
2013,09,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,25-30
2008,07,TOLIMA,CHAPARRAL,AVALANCHA,1000-1500,0-100,20-25
2013,08,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
2012,11,ANTIOQUIA,CAREPA,INUNDACION,0-500,300-400,25-30
2012,04,QUINDIO,ARMENIA,INUNDACION,1000-1500,200-300,20-25
2010,04,CUNDINAMARCA,SOACHA,INUNDACION,2500-3000,0-100,10-15
2008,06,ANTIOQUIA,VALDIVIA,DESLIZAMIENTO,1000-1500,400-500,20-25
2011,10,ATLANTICO,REPELON,INUNDACION,0-500,100-200,25-30
2007,10,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
2010,11,SANTANDER,BARRANCABERMEJA,DESLIZAMIENTO,0-500,300-400,25-30
2012,12,CAUCA,GUAPI,EXPLOSION,0-500,300-400,25-30
2010,10,SANTANDER,CERRITO,DESLIZAMIENTO,2500-3000,100-200,10-15
2013,02,ARAUCA,ARAUCA,INCENDIO FORESTAL,0-500,0-100,25-30
2011,05,NARINO,TUQUERRES,DESLIZAMIENTO,3000-3500,100-200,10-15
2004,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
2013,02,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1000-1500,100-200,20-25
2007,05,ATLANTICO,SOLEDAD,INUNDACION,0-500,100-200,25-30
2012,07,HUILA,GARZON,INCENDIO FORESTAL,1000-1500,0-100,15-20
2006,04,SANTANDER,PUERTO PARRA,INUNDACION,0-500,200-300,25-30
2003,05,CHOCO,RIO QUITO,INUNDACION,0-500,600-700,25-30
2010,02,NORTE DE SANTANDER,LA PLAYA,SEQUIA,1500-2000,0-100,15-20
2006,05,NORTE DE SANTANDER,OCANA,INUNDACION,1000-1500,100-200,20-25
2010,11,CHOCO,RIOSUCIO,INUNDACION,0-500,200-300,25-30
2011,11,SANTANDER,GIRON,INUNDACION,500-1000,0-100,25-30
2010,04,ANTIOQUIA,TURBO,INUNDACION,0-500,200-300,25-30
2006,05,NORTE DE SANTANDER,CACHIRA,DESLIZAMIENTO,1500-2000,100-200,15-20
2012,07,CESAR,AGUSTIN CODAZZI,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
2007,12,BOLIVAR,VILLANUEVA,INUNDACION,0-500,0-100,25-30
2005,02,CHOCO,QUIBDO,INUNDACION,0-500,500-600,25-30
2012,09,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2008,11,META,PUERTO RICO,INUNDACION,0-500,200-300,25-30
2008,11,TOLIMA,VILLAHERMOSA,INUNDACION,2000-2500,200-300,15-20
2005,01,BOYACA,PUERTO BOYACA,INUNDACION,0-500,0-100,25-30
2011,11,HUILA,LA PLATA,DESLIZAMIENTO,1000-1500,100-200,20-25
2012,08,SANTANDER,GUADALUPE,DESLIZAMIENTO,2000-2500,200-300,15-20
2006,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
2012,06,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000-2500,0-100,15-20
2013,04,CAUCA,PIENDAMO,VENDAVAL,1500-2000,200-300,15-20
2005,12,ANTIOQUIA,TURBO,INUNDACION,0-500,100-200,25-30
2011,08,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,100-200,25-30
1998,12,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,0-100,20-25
2011,12,CHOCO,QUIBDO,INUNDACION,0-500,600-700,25-30
2008,09,CORDOBA,PLANETA RICA,INUNDACION,0-500,100-200,25-30
2011,11,NARINO,SAMANIEGO,DESLIZAMIENTO,1500-2000,100-200,15-20
2013,04,TOLIMA,HONDA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
2013,10,TOLIMA,PURIFICACION,INCENDIO FORESTAL,0-500,200-300,25-30
2011,07,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
2003,09,ANTIOQUIA,CALDAS,INUNDACION,1500-2000,200-300,15-20
2013,04,TOLIMA,ROVIRA,INCENDIO FORESTAL,2000-2500,200-300,15-20
2012,08,SANTANDER,BUCARAMANGA,INUNDACION,1000-1500,0-100,20-25
2008,06,CASANARE,TAURAMENA,INUNDACION,0-500,400-500,20-25
2013,03,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,100-200,20-25
2002,04,CHOCO,BOJAYA,INUNDACION,0-500,400-500,25-30
2010,11,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
2012,09,CUNDINAMARCA,SUTATAUSA,INUNDACION,2500-3000,0-100,10-15
2012,08,HUILA,LA PLATA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2013,06,TOLIMA,ROVIRA,DESLIZAMIENTO,2000-2500,100-200,15-20
2008,07,ANTIOQUIA,TAMESIS,INUNDACION,1000-1500,100-200,20-25
2006,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
1999,10,CAUCA,PIENDAMO,DESLIZAMIENTO,1500-2000,200-300,15-20
2007,11,ANTIOQUIA,MEDELLIN,VENDAVAL,1000-1500,100-200,20-25
2010,04,SANTANDER,SABANA DE TORRES,INUNDACION,0-500,200-300,25-30
2008,12,CALDAS,SUPIA,INUNDACION,1000-1500,100-200,20-25
2013,10,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2000,05,NARINO,SAN ANDRES DE TUMACO,INUNDACION,0-500,300-400,25-30
2013,04,CAUCA,ARGELIA,VENDAVAL,1500-2000,100-200,20-25
2009,05,ANTIOQUIA,FREDONIA,COLAPSO,500-1000,200-300,25-30
2006,05,ANTIOQUIA,APARTADO,INUNDACION,0-500,300-400,25-30
2009,11,CESAR,SAN MARTIN,INUNDACION,0-500,200-300,25-30
2006,03,VALLE DEL CAUCA,ZARZAL,INUNDACION,500-1000,100-200,20-25
2011,11,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
2011,09,CALDAS,AGUADAS,DESLIZAMIENTO,2000-2500,100-200,15-20
2013,06,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,100-200,25-30
2007,03,CAUCA,SANTANDER DE QUILICHAO,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2003,10,LA GUAJIRA,HATONUEVO,INUNDACION,0-500,100-200,25-30
2003,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0-500,700-800,25-30
2013,01,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,1500-2000,0-100,15-20
2009,07,ARAUCA,ARAUCA,INUNDACION,0-500,300-400,25-30
2011,05,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,0-100,25-30
2007,06,META,PUERTO RICO,INUNDACION,0-500,400-500,20-25
2013,03,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
1998,07,META,LEJANIAS,INUNDACION,500-1000,400-500,20-25
1999,11,BOLIVAR,MARIA LA BAJA,INUNDACION,0-500,100-200,25-30
2012,09,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2007,04,HUILA,NEIVA,INUNDACION,1500-2000,100-200,15-20
2012,10,LA GUAJIRA,MANAURE,INUNDACION,0-500,100-200,25-30
2002,02,CAUCA,ARGELIA,SEQUIA,1500-2000,0-100,20-25
2012,09,CAUCA,LA SIERRA,INCENDIO FORESTAL,1500-2000,100-200,15-20
2011,12,BOYACA,NUEVO COLON,INUNDACION,2000-2500,0-100,10-15
1998,05,CALDAS,SALAMINA,VENDAVAL,2500-3000,100-200,10-15
2006,05,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,0-500,600-700,25-30
2006,05,BOYACA,CALDAS,DESLIZAMIENTO,1500-2000,300-400,15-20
2008,11,CUNDINAMARCA,SUBACHOQUE,INUNDACION,2500-3000,0-100,10-15
2009,03,BOYACA,VILLA DE LEYVA,INUNDACION,2000-2500,100-200,15-20
2012,08,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
