id,Anio,Mes,Departamento,Municipio,Deslizamiento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1944,2011,06,CAUCA,MIRANDA,NO,1128,73.6,23.5
1945,2011,11,MAGDALENA,EL BANCO,NO,34,237.7,27.9
1946,2013,05,VALLE DEL CAUCA,TULUA,NO,2902,98.4,12.2
1947,2006,05,BOGOTA DC,BOGOTA DC,NO,2570,96.9,14.1
1948,2011,05,ATLANTICO,BARRANQUILLA,NO,2,95.6,28.2
1949,2004,11,CUNDINAMARCA,PANDI,SI,950,159.9,23.2
1950,2004,06,PUTUMAYO,PUERTO LEGUIZAMO,NO,153,323.8,24.7
1951,2010,11,HUILA,PITALITO,NO,1320,95.8,20.6
1952,2009,03,VALLE DEL CAUCA,FLORIDA,NO,1013,121.8,23.8
1953,2009,04,TOLIMA,IBAGUE,SI,750,200.7,24.7
1954,2013,02,CALDAS,MANIZALES,SI,2058,94,17.2
1955,2012,04,HUILA,GARZON,NO,1270,148.9,20.6
1956,2013,05,CORDOBA,CERETE,NO,20,104.9,28.1
1957,2006,05,BOGOTA DC,BOGOTA DC,NO,2570,96.9,14.1
1958,2012,08,LA GUAJIRA,RIOHACHA,NO,4,50,29.5
1959,2012,02,CAQUETA,SAN VICENTE DEL CAGUAN,NO,300,124.1,27.3
1960,2010,12,ATLANTICO,BARRANQUILLA,SI,2,35.1,27.3
1961,2013,08,CAQUETA,EL DONCELLO,NO,270,210.5,24.8
1962,2013,04,TOLIMA,VILLAHERMOSA,SI,2029,286,17.1
1963,2012,11,CORDOBA,MONTERIA,NO,30,91.6,27
1964,2013,09,CUNDINAMARCA,MADRID,NO,2550,42.7,13.8
1965,2008,11,NARINO,TAMINANGO,NO,1875,237.4,17.1
1966,2012,01,ANTIOQUIA,APARTADO,NO,23,94.7,26.5
1967,2003,09,CORDOBA,CIENAGA DE ORO,NO,40,192.6,27.6
1968,2013,02,CASANARE,YOPAL,NO,325,53.7,28.7
1969,2007,04,ATLANTICO,BARRANQUILLA,NO,2,11.7,27.5
1970,2010,10,BOGOTA DC,BOGOTA DC,NO,2570,101,13.8
1971,2009,01,NARINO,ALBAN,SI,2200,90.9,15.4
1972,1999,05,ANTIOQUIA,BARBOSA,SI,1500,246.8,22.1
1973,2007,06,SUCRE,SAN BENITO ABAD,NO,20,227.2,28.2
1974,2013,03,HUILA,PITALITO,NO,1320,107.3,20.8
1975,2010,12,TOLIMA,IBAGUE,SI,750,78.1,24.7
1976,2006,06,ANTIOQUIA,MEDELLIN,NO,1490,149.4,22.9
1977,2004,10,TOLIMA,IBAGUE,SI,750,170.9,24.8
1978,1998,10,CALDAS,MANIZALES,NO,2058,209,16.6
1979,2013,03,MAGDALENA,PIVIJAY,NO,20,19.2,28.4
1980,2004,10,CORDOBA,LORICA,NO,30,152,27
1981,2012,08,BOLIVAR,SANTA CATALINA,NO,20,117.5,27.7
1982,1999,06,BOYACA,PAJARITO,NO,1550,394,18.4
1983,2012,05,HUILA,PALERMO,NO,460,107.2,26.6
1984,2010,11,BOYACA,VILLA DE LEYVA,NO,2215,119.2,16.7
1985,2012,03,BOYACA,SAMACA,NO,2600,74,14.4
1986,2005,04,HUILA,PITALITO,NO,1320,135.9,20.7
1987,2005,11,ATLANTICO,JUAN DE ACOSTA,NO,20,130.3,27.6
1988,2005,08,NORTE DE SANTANDER,SAN CAYETANO,SI,2150,38.3,16.3
1989,2008,02,HUILA,GARZON,NO,1270,99.6,20.7
1990,2012,05,ATLANTICO,SOLEDAD,NO,14,118,28.2
1991,2007,12,CAUCA,ARGELIA,SI,1600,91.8,20.4
1992,2002,04,CHOCO,QUIBDO,NO,53,707.2,26.9
1993,2010,03,ANTIOQUIA,FRONTINO,NO,1330,107.1,20.2
1994,2009,06,ATLANTICO,BARRANQUILLA,NO,2,72,28.4
1995,2013,10,TOLIMA,AMBALEMA,NO,450,192.2,28
1996,2006,05,BOLIVAR,PINILLOS,NO,10,223.4,28.7
1997,2008,02,VALLE DEL CAUCA,YUMBO,NO,1500,59.5,20.9
1998,2009,07,ATLANTICO,BARRANQUILLA,NO,2,44.1,28.2
1999,2006,11,QUINDIO,ARMENIA,SI,1229,264.1,21.5
2000,2011,04,CUNDINAMARCA,TENJO,SI,2560,99.9,14.2
2001,2003,04,TOLIMA,IBAGUE,NO,750,200.7,24.7
2002,2011,06,CUNDINAMARCA,SOACHA,NO,2900,70.1,11.7
2003,2004,10,ANTIOQUIA,CAREPA,NO,30,319.7,26.6
2004,2012,10,RISARALDA,SANTA ROSA DE CABAL,SI,1600,297.5,18.7
2005,1999,11,VALLE DEL CAUCA,TULUA,NO,2902,129.6,11.3
2006,2007,12,ANTIOQUIA,VENECIA,NO,1600,166.3,19.9
2007,2008,12,HUILA,PITALITO,NO,1320,80.7,20.8
2008,2013,05,QUINDIO,ARMENIA,SI,1229,219.6,22
2009,2013,02,QUINDIO,ARMENIA,SI,1229,144.2,22.4
2010,2012,04,CASANARE,TAURAMENA,NO,460,343.2,25.5
2011,2008,11,CAUCA,PATIA,SI,635,263.6,25.6
2012,2012,04,QUINDIO,ARMENIA,NO,1229,262.6,22
2013,2013,03,BOGOTA DC,BOGOTA DC,NO,2570,73.3,14
2014,2008,11,META,FUENTE DE ORO,NO,280,180.2,25.5
2015,2011,04,CUNDINAMARCA,GUASCA,NO,2750,83.4,13.6
2016,2001,07,QUINDIO,CALARCA,NO,1450,67.6,21.1
2017,2008,12,CALDAS,ANSERMA,NO,1932,111.5,16.7
2018,2013,09,CUNDINAMARCA,ANOLAIMA,NO,1850,77.1,17.7
2019,2010,12,BOYACA,BUENAVISTA,NO,2200,96.1,15.8
2020,2000,05,NARINO,LA UNION,SI,2314,392.4,15.3
2021,2008,11,SANTANDER,ALBANIA,NO,1690,301.2,18.6
2022,2011,12,VALLE DEL CAUCA,YUMBO,NO,1500,79.3,20.2
2023,2008,11,QUINDIO,ARMENIA,NO,1229,264.1,21.5
2024,2007,09,CESAR,PAILITAS,NO,50,274,27.3
2025,2008,07,CESAR,VALLEDUPAR,NO,70,105.5,29.2
2026,2006,01,BOYACA,TUNJA,NO,2690,18.1,13.3
2027,2009,08,CAUCA,MERCADERES,NO,580,23.4,26.9
2028,2009,04,SANTANDER,SABANA DE TORRES,NO,328,287.2,27.8
2029,2007,11,HUILA,GARZON,NO,1270,130,20.4
2030,2012,12,VALLE DEL CAUCA,CALI,NO,954,83.6,24.6
2031,2013,03,TOLIMA,AMBALEMA,NO,450,97.9,29.1
2032,2005,06,ATLANTICO,BARRANQUILLA,NO,2,72,28.4
2033,2004,11,ATLANTICO,MANATI,NO,10,96.5,27.3
