id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
4989,2013,08,HUILA,ALTAMIRA,INUNDACION,1000-1500,0-100,20-25
4990,2004,05,BOYACA,PUERTO BOYACA,INUNDACION,0-500,200-300,25-30
4991,2010,07,SANTANDER,BARRANCABERMEJA,INUNDACION,0-500,200-300,25-30
4992,2010,11,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,100-200,20-25
4993,2011,06,LA GUAJIRA,MANAURE,INUNDACION,0-500,0-100,25-30
4994,2008,08,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,800-900,25-30
4995,2008,04,PUTUMAYO,MOCOA,DESLIZAMIENTO,500-1000,300-400,20-25
4996,2011,05,QUINDIO,BUENAVISTA,DESLIZAMIENTO,2000-2500,100-200,15-20
4997,2013,10,RISARALDA,PEREIRA,VENDAVAL,1000-1500,200-300,20-25
4998,2007,11,CALDAS,VILLAMARIA,DESLIZAMIENTO,4000-4500,100-200,0-5
4999,2007,12,CORDOBA,PUERTO ESCONDIDO,INUNDACION,0-500,0-100,25-30
5000,2011,06,CUNDINAMARCA,YACOPI,INUNDACION,1000-1500,200-300,20-25
5001,2012,04,BOYACA,LA UVITA,DESLIZAMIENTO,2500-3000,100-200,10-15
5002,2005,04,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,400-500,25-30
5003,1999,05,CESAR,AGUACHICA,INUNDACION,0-500,100-200,25-30
5004,2011,12,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,100-200,25-30
5005,2012,12,HUILA,ALGECIRAS,CRECIENTE SUBITA,1000-1500,100-200,20-25
5006,2003,11,HUILA,COLOMBIA,AVALANCHA,1000-1500,100-200,15-20
5007,2011,04,BOGOTA DC,BOGOTA DC,GRANIZADA,2500-3000,0-100,10-15
5008,2011,05,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
5009,2011,02,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,0-100,25-30
5010,2012,10,GUAINIA,INIRIDA,INCENDIO FORESTAL,0-500,200-300,25-30
5011,2012,04,SANTANDER,SABANA DE TORRES,INUNDACION,0-500,200-300,25-30
5012,2013,04,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,200-300,25-30
5013,2002,06,ANTIOQUIA,VEGACHI,INUNDACION,500-1000,200-300,20-25
5014,2012,10,ANTIOQUIA,ANORI,INCENDIO ESTRUCTURAL,1500-2000,300-400,15-20
5015,2001,08,RISARALDA,PEREIRA,INCENDIO FORESTAL,1000-1500,100-200,20-25
5016,2007,05,MAGDALENA,CIENAGA,INUNDACION,0-500,0-100,25-30
5017,2010,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
5018,2010,12,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
5019,2002,10,ANTIOQUIA,FREDONIA,INUNDACION,500-1000,200-300,25-30
5020,2010,10,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
5021,2006,08,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0-500,800-900,25-30
5022,2013,09,CESAR,VALLEDUPAR,VENDAVAL,0-500,100-200,25-30
5023,2000,11,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2000-2500,100-200,15-20
5024,2013,10,NARINO,SAN ANDRES DE TUMACO,ACCIDENTE MARITIMO,0-500,100-200,25-30
5025,2009,02,HUILA,LA PLATA,INUNDACION,1000-1500,100-200,20-25
5026,2003,01,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
5027,2012,06,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,0-100,20-25
5028,1998,10,CHOCO,RIOSUCIO,INUNDACION,0-500,200-300,25-30
5029,2012,05,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1000-1500,300-400,20-25
5030,2010,08,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,25-30
5031,2011,08,NARINO,CONSACA,INUNDACION,1000-1500,0-100,20-25
5032,2013,06,BOLIVAR,RIO VIEJO,VENDAVAL,0-500,100-200,25-30
5033,2013,08,ATLANTICO,SOLEDAD,INUNDACION,0-500,100-200,25-30
5034,2010,12,META,VISTAHERMOSA,INUNDACION,0-500,0-100,25-30
5035,2013,01,SANTANDER,PUERTO WILCHES,INCENDIO FORESTAL,0-500,0-100,25-30
5036,2008,05,ANTIOQUIA,CONCORDIA,INUNDACION,1500-2000,200-300,15-20
5037,2011,10,SANTANDER,MOGOTES,INUNDACION,1500-2000,300-400,15-20
5038,2010,11,CALDAS,RIOSUCIO,INUNDACION,0-500,200-300,25-30
5039,2012,04,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,100-200,20-25
5040,2011,08,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
5041,2011,04,BOYACA,NUEVO COLON,DESLIZAMIENTO,2000-2500,0-100,15-20
5042,2013,06,META,PUERTO LLERAS,CRECIENTE SUBITA,0-500,400-500,25-30
5043,2007,02,ARAUCA,ARAUCA,VENDAVAL,0-500,0-100,25-30
5044,2010,04,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,100-200,25-30
5045,2009,05,SANTANDER,BARRANCABERMEJA,VENDAVAL,0-500,300-400,25-30
5046,2010,02,BOLIVAR,EL CARMEN DE BOLIVAR,SEQUIA,0-500,0-100,25-30
5047,2013,06,TOLIMA,SALDANA,ACCIDENTE DE TRANSITO,0-500,0-100,25-30
5048,2011,10,SUCRE,SAN BENITO ABAD,INUNDACION,0-500,200-300,25-30
5049,2004,06,META,VILLAVICENCIO,DESLIZAMIENTO,0-500,500-600,20-25
5050,2011,04,VALLE DEL CAUCA,SEVILLA,INUNDACION,1500-2000,200-300,15-20
5051,2012,04,BOYACA,TOCA,INUNDACION,2500-3000,0-100,10-15
5052,1999,02,BOYACA,CUITIVA,DESLIZAMIENTO,3000-3500,0-100,10-15
5053,2009,03,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
5054,2010,04,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
5055,1999,10,CESAR,MANAURE,INUNDACION,0-500,100-200,25-30
5056,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
5057,2010,12,CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
5058,2000,02,VALLE DEL CAUCA,BUGALAGRANDE,INUNDACION,1000-1500,0-100,20-25
5059,2010,12,CUNDINAMARCA,ANAPOIMA,DESLIZAMIENTO,500-1000,0-100,20-25
5060,2008,08,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
5061,2013,06,RISARALDA,SANTA ROSA DE CABAL,INCENDIO ESTRUCTURAL,1500-2000,100-200,15-20
5062,2003,01,BOGOTA DC,BOGOTA DC,INCENDIO FORESTAL,2500-3000,0-100,10-15
5063,2010,10,QUINDIO,ARMENIA,INUNDACION,1000-1500,200-300,20-25
5064,2012,06,NARINO,TUQUERRES,INUNDACION,3000-3500,0-100,10-15
5065,2013,09,BOGOTA DC,BOGOTA DC,INCENDIO FORESTAL,2500-3000,0-100,10-15
5066,2013,03,RISARALDA,PEREIRA,VENDAVAL,1000-1500,200-300,20-25
5067,2011,07,CAQUETA,FLORENCIA,DESLIZAMIENTO,0-500,400-500,20-25
5068,2012,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
5069,2007,11,ANTIOQUIA,TURBO,INUNDACION,0-500,200-300,25-30
5070,2013,04,NORTE DE SANTANDER,RAGONVALIA,INCENDIO FORESTAL,1500-2000,100-200,15-20
5071,2010,12,CUNDINAMARCA,PANDI,DESLIZAMIENTO,500-1000,100-200,20-25
5072,2011,05,ATLANTICO,BARRANQUILLA,DESLIZAMIENTO,0-500,0-100,25-30
5073,2002,03,VALLE DEL CAUCA,GUADALAJARA DE BUGA,INUNDACION,500-1000,100-200,20-25
5074,2011,12,BOYACA,VILLA DE LEYVA,DESLIZAMIENTO,2000-2500,0-100,15-20
5075,2011,05,CAQUETA,FLORENCIA,INUNDACION,0-500,400-500,20-25
5076,2007,11,RISARALDA,SANTUARIO,DESLIZAMIENTO,1500-2000,200-300,15-20
5077,2012,08,ANTIOQUIA,LA UNION,INUNDACION,2000-2500,300-400,15-20
5078,2009,07,HUILA,PITALITO,DESLIZAMIENTO,1000-1500,100-200,15-20
5079,2010,11,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
5080,2009,11,ANTIOQUIA,CANASGORDAS,INUNDACION,1000-1500,200-300,20-25
5081,2010,05,SANTANDER,EL CARMEN DE CHUCURI,INUNDACION,500-1000,200-300,20-25
5082,2000,05,CHOCO,LLORO,INUNDACION,0-500,700-800,25-30
5083,2012,04,HUILA,PITALITO,INUNDACION,1000-1500,100-200,20-25
5084,2012,02,SUCRE,SAN BENITO ABAD,INUNDACION,0-500,0-100,25-30
5085,2012,03,SANTANDER,BUCARAMANGA,VENDAVAL,1000-1500,100-200,20-25
5086,1998,12,ATLANTICO,REPELON,INUNDACION,0-500,0-100,25-30
5087,2006,05,TOLIMA,PLANADAS,DESLIZAMIENTO,1000-1500,100-200,20-25
5088,2000,05,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,200-300,20-25
5089,2011,03,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,200-300,20-25
5090,2004,07,ANTIOQUIA,BARBOSA,DESLIZAMIENTO,1500-2000,200-300,20-25
5091,2001,08,TOLIMA,NATAGAIMA,INCENDIO FORESTAL,0-500,0-100,30-35
5092,2000,06,SUCRE,MAJAGUAL,INUNDACION,0-500,300-400,25-30
5093,2005,10,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,200-300,20-25
5094,2013,07,META,VILLAVICENCIO,INUNDACION,0-500,400-500,20-25
5095,2011,02,HUILA,NEIVA,INCENDIO ESTRUCTURAL,1500-2000,100-200,15-20
5096,2010,12,RISARALDA,SANTUARIO,DESLIZAMIENTO,1500-2000,100-200,15-20
5097,1999,02,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,0-100,25-30
5098,2008,12,MAGDALENA,EL BANCO,INUNDACION,0-500,0-100,25-30
5099,2011,01,META,VILLAVICENCIO,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
5100,2010,03,CAUCA,MIRANDA,VENDAVAL,1000-1500,100-200,20-25
5101,2009,02,NORTE DE SANTANDER,SAN CAYETANO,DESLIZAMIENTO,2000-2500,100-200,15-20
5102,2012,01,ARAUCA,ARAUCA,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
5103,2010,04,NARINO,SAN ANDRES DE TUMACO,VENDAVAL,0-500,300-400,25-30
5104,1998,10,CAUCA,TOTORO,VENDAVAL,3000-3500,100-200,10-15
5105,2011,03,RISARALDA,PEREIRA,VENDAVAL,1000-1500,200-300,20-25
5106,2010,09,LA GUAJIRA,FONSECA,INUNDACION,0-500,100-200,25-30
5107,2010,02,META,VILLAVICENCIO,VENDAVAL,0-500,100-200,25-30
5108,2010,07,BOYACA,TOCA,INUNDACION,2500-3000,0-100,10-15
5109,2012,03,SANTANDER,BUCARAMANGA,COLAPSO,1000-1500,100-200,20-25
5110,2012,07,CUNDINAMARCA,FUSAGASUGA,INCENDIO FORESTAL,1000-1500,0-100,20-25
5111,2010,06,HUILA,COLOMBIA,AVALANCHA,1000-1500,300-400,15-20
5112,2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5113,2004,05,MAGDALENA,SANTA MARTA,EROSION,0-500,100-200,25-30
5114,2013,02,CAQUETA,EL DONCELLO,VENDAVAL,0-500,100-200,25-30
5115,2008,10,NORTE DE SANTANDER,TEORAMA,INUNDACION,1000-1500,200-300,20-25
5116,2013,03,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
5117,2013,03,TOLIMA,FLANDES,INUNDACION,0-500,100-200,25-30
5118,2004,10,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,100-200,10-15
5119,2010,09,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
5120,2012,02,CESAR,VALLEDUPAR,INCENDIO FORESTAL,0-500,0-100,30-35
5121,2010,09,ARAUCA,TAME,INUNDACION,0-500,200-300,25-30
5122,2006,12,NARINO,CHACHAGUI,DESLIZAMIENTO,1500-2000,100-200,15-20
5123,2013,04,CUNDINAMARCA,TABIO,INUNDACION,2500-3000,0-100,10-15
5124,2013,05,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,200-300,20-25
5125,2011,05,GUAVIARE,SAN JOSE DEL GUAVIARE,INUNDACION,0-500,300-400,25-30
5126,2008,07,META,VILLAVICENCIO,DESLIZAMIENTO,0-500,400-500,20-25
5127,2011,05,BOYACA,TUNJA,DESLIZAMIENTO,2500-3000,0-100,10-15
5128,2005,05,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
5129,2009,07,SANTANDER,BUCARAMANGA,VENDAVAL,1000-1500,100-200,20-25
5130,2011,04,CASANARE,YOPAL,DESLIZAMIENTO,0-500,200-300,25-30
5131,2013,03,CORDOBA,SAN CARLOS,VENDAVAL,1000-1500,300-400,20-25
5132,2010,07,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
5133,2005,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
5134,2006,12,ANTIOQUIA,JARDIN,DESLIZAMIENTO,2000-2500,100-200,15-20
5135,2008,11,META,GRANADA,INUNDACION,0-500,200-300,25-30
5136,2000,02,CALDAS,RIOSUCIO,INUNDACION,0-500,0-100,25-30
5137,2009,02,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,500-600,25-30
5138,2007,04,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5139,1998,05,CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
5140,2009,04,SANTANDER,SURATA,INUNDACION,1500-2000,100-200,15-20
5141,2011,06,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
5142,2011,04,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
5143,2009,04,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5144,2006,05,CUNDINAMARCA,FUQUENE,INUNDACION,2500-3000,100-200,10-15
5145,2010,03,NORTE DE SANTANDER,ABREGO,VENDAVAL,1000-1500,0-100,20-25
5146,2005,11,TOLIMA,GUAMO,INUNDACION,0-500,100-200,25-30
5147,2012,06,CASANARE,AGUAZUL,DESLIZAMIENTO,0-500,400-500,25-30
5148,2013,03,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
5149,2011,04,QUINDIO,CALARCA,INUNDACION,1000-1500,200-300,20-25
5150,2013,03,CALDAS,SUPIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5151,2004,10,CORDOBA,BUENAVISTA,INUNDACION,2000-2500,200-300,15-20
5152,2011,03,ATLANTICO,REPELON,INUNDACION,0-500,0-100,25-30
5153,2013,07,GUAINIA,INIRIDA,ACCIDENTE,0-500,500-600,25-30
5154,1998,05,BOYACA,QUIPAMA,INUNDACION,1000-1500,300-400,20-25
5155,2010,10,CALDAS,VILLAMARIA,DESLIZAMIENTO,4000-4500,100-200,0-5
5156,2008,05,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
5157,2013,07,CASANARE,TAURAMENA,INUNDACION,0-500,300-400,20-25
5158,2010,05,CHOCO,RIOSUCIO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
5159,1998,06,MAGDALENA,EL BANCO,INUNDACION,0-500,100-200,25-30
5160,2006,11,CORDOBA,SAN BERNARDO DEL VIENTO,MAREJADAS,0-500,100-200,25-30
5161,1999,10,TOLIMA,DOLORES,INUNDACION,1000-1500,200-300,20-25
5162,2013,07,BOGOTA DC,BOGOTA DC,ACCIDENTE DE TRANSITO,2500-3000,0-100,10-15
5163,2012,01,ANTIOQUIA,CALDAS,INCENDIO FORESTAL,1500-2000,100-200,15-20
5164,2012,07,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,600-700,25-30
5165,2008,08,BOYACA,CHISCAS,INUNDACION,2000-2500,100-200,15-20
5166,2011,04,HUILA,VILLAVIEJA,INUNDACION,0-500,100-200,25-30
5167,2004,01,CAUCA,PIENDAMO,VENDAVAL,1500-2000,100-200,15-20
5168,2013,07,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
5169,2012,03,NORTE DE SANTANDER,CHINACOTA,DESLIZAMIENTO,1000-1500,0-100,20-25
5170,2012,08,SUCRE,LA UNION,VENDAVAL,2000-2500,300-400,15-20
5171,2011,12,VALLE DEL CAUCA,LA UNION,INUNDACION,2000-2500,100-200,10-15
5172,2012,05,NORTE DE SANTANDER,TEORAMA,INUNDACION,1000-1500,100-200,20-25
5173,2011,09,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,100-200,25-30
5174,2010,10,BOYACA,QUIPAMA,INUNDACION,1000-1500,300-400,20-25
5175,2007,04,NARINO,CHACHAGUI,DESLIZAMIENTO,1500-2000,100-200,15-20
5176,2013,10,BOGOTA DC,BOGOTA DC,ACCIDENTE,2500-3000,100-200,10-15
5177,2005,10,SANTANDER,PUERTO WILCHES,INUNDACION,0-500,300-400,25-30
5178,2010,12,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,0-100,25-30
5179,2010,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
5180,2009,03,TOLIMA,HONDA,INUNDACION,0-500,100-200,25-30
5181,2013,05,TOLIMA,ESPINAL,INUNDACION,0-500,100-200,25-30
5182,2013,04,TOLIMA,VILLAHERMOSA,VENDAVAL,2000-2500,200-300,15-20
5183,2013,02,HUILA,LA PLATA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5184,2011,09,CALDAS,SAMANA,VENDAVAL,1000-1500,500-600,15-20
5185,2013,02,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
5186,2004,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
5187,2013,06,META,SAN MARTIN,INUNDACION,0-500,300-400,20-25
5188,2007,11,CAUCA,MERCADERES,INUNDACION,500-1000,100-200,25-30
5189,2013,05,NARINO,TUQUERRES,VENDAVAL,3000-3500,100-200,10-15
5190,2009,05,CAUCA,CAJIBIO,VENDAVAL,1500-2000,100-200,15-20
5191,2009,04,CHOCO,QUIBDO,VENDAVAL,0-500,700-800,25-30
5192,2012,07,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
5193,2012,09,TOLIMA,HONDA,INCENDIO FORESTAL,0-500,100-200,25-30
5194,2012,08,TOLIMA,VILLAHERMOSA,VENDAVAL,2000-2500,100-200,15-20
5195,2012,07,HUILA,AGRADO,INCENDIO FORESTAL,500-1000,0-100,20-25
5196,2006,02,CORDOBA,MONTELIBANO,INUNDACION,0-500,0-100,25-30
5197,1998,10,TOLIMA,ROVIRA,AVALANCHA,2000-2500,100-200,15-20
5198,2005,09,CAQUETA,FLORENCIA,VENDAVAL,0-500,200-300,20-25
5199,2012,02,BOLIVAR,SANTA ROSA DEL SUR,INCENDIO FORESTAL,500-1000,0-100,20-25
5200,2010,07,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,0-100,25-30
5201,2008,05,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
5202,2013,04,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
5203,2009,09,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2000-2500,0-100,15-20
5204,2010,07,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
5205,2011,04,TOLIMA,SAN ANTONIO,INUNDACION,1500-2000,200-300,20-25
5206,2011,04,HUILA,IQUIRA,AVALANCHA,1000-1500,200-300,20-25
5207,2009,03,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
5208,2000,03,CESAR,AGUACHICA,DESLIZAMIENTO,0-500,0-100,25-30
5209,2010,04,HUILA,TELLO,DESLIZAMIENTO,1000-1500,100-200,20-25
5210,2006,11,ATLANTICO,BARRANQUILLA,VENDAVAL,0-500,0-100,25-30
5211,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
5212,2008,04,CORDOBA,LORICA,INUNDACION,0-500,0-100,25-30
5213,2011,04,BOYACA,CALDAS,DESLIZAMIENTO,1500-2000,200-300,15-20
5214,2009,12,ANTIOQUIA,ANDES,INUNDACION,1000-1500,100-200,20-25
5215,2003,12,BOYACA,OTANCHE,INUNDACION,1000-1500,200-300,20-25
5216,2012,09,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
5217,2004,11,CESAR,AGUACHICA,INUNDACION,0-500,100-200,25-30
5218,2005,01,ARAUCA,SARAVENA,INUNDACION,0-500,0-100,25-30
5219,2009,06,LA GUAJIRA,RIOHACHA,VENDAVAL,0-500,0-100,25-30
5220,2008,10,ATLANTICO,MANATI,INUNDACION,0-500,100-200,25-30
5221,2012,10,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,500-600,25-30
5222,2013,04,CAUCA,MIRANDA,VENDAVAL,1000-1500,200-300,20-25
5223,2011,12,PUTUMAYO,MOCOA,INUNDACION,500-1000,200-300,20-25
5224,2012,08,HUILA,PITALITO,INCENDIO ESTRUCTURAL,1000-1500,0-100,15-20
5225,2012,09,CUNDINAMARCA,MOSQUERA,INCENDIO FORESTAL,2500-3000,0-100,10-15
5226,1999,05,CHOCO,QUIBDO,VENDAVAL,0-500,700-800,25-30
5227,2013,01,GUAINIA,INIRIDA,INCENDIO FORESTAL,0-500,0-100,25-30
5228,2012,11,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
5229,2012,07,NARINO,PASTO,VENDAVAL,2500-3000,100-200,10-15
5230,2008,12,META,VILLAVICENCIO,INUNDACION,0-500,100-200,25-30
5231,2012,05,TOLIMA,ATACO,INUNDACION,500-1000,200-300,25-30
5232,2012,05,SUCRE,SAN BENITO ABAD,INUNDACION,0-500,100-200,25-30
5233,2005,07,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,600-700,25-30
5234,2013,06,CORDOBA,LORICA,VENDAVAL,0-500,100-200,25-30
5235,2011,11,MAGDALENA,EL BANCO,INUNDACION,0-500,200-300,25-30
5236,1999,02,TOLIMA,FLANDES,INUNDACION,0-500,0-100,25-30
5237,2007,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
5238,2012,08,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500-2000,0-100,20-25
5239,2008,04,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
5240,2013,04,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,100-200,15-20
5241,2012,04,SANTANDER,CIMITARRA,INUNDACION,0-500,300-400,25-30
5242,2008,03,SANTANDER,VELEZ,INUNDACION,2000-2500,100-200,15-20
5243,2004,06,VICHADA,PUERTO CARRENO,INUNDACION,0-500,400-500,25-30
5244,2011,06,ANTIOQUIA,VEGACHI,INUNDACION,500-1000,200-300,20-25
5245,2012,09,MAGDALENA,CIENAGA,VENDAVAL,0-500,100-200,25-30
5246,2012,05,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,200-300,20-25
5247,2010,04,TOLIMA,ESPINAL,INUNDACION,0-500,200-300,25-30
5248,2011,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
5249,2006,12,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
5250,1998,10,ANTIOQUIA,TURBO,VENDAVAL,0-500,100-200,25-30
5251,2008,03,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,100-200,20-25
5252,2005,09,CESAR,SAN DIEGO,VENDAVAL,0-500,100-200,25-30
5253,2012,03,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,100-200,25-30
5254,2010,07,BOYACA,NUEVO COLON,DESLIZAMIENTO,2000-2500,100-200,10-15
5255,2013,02,CASANARE,AGUAZUL,INCENDIO FORESTAL,0-500,0-100,25-30
5256,2013,07,HUILA,NEIVA,VENDAVAL,1500-2000,0-100,15-20
5257,2001,02,CESAR,AGUSTIN CODAZZI,INCENDIO FORESTAL,0-500,0-100,30-35
5258,2005,09,BOLIVAR,EL CARMEN DE BOLIVAR,INUNDACION,0-500,100-200,25-30
5259,1999,05,BOLIVAR,SAN PABLO,INUNDACION,0-500,300-400,25-30
5260,2013,03,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
5261,2012,06,PUTUMAYO,VILLAGARZON,INCENDIO ESTRUCTURAL,0-500,400-500,20-25
5262,2012,04,HUILA,PALERMO,DESLIZAMIENTO,0-500,100-200,25-30
5263,2006,06,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,100-200,20-25
5264,2010,11,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
5265,2005,02,SANTANDER,LANDAZURI,DESLIZAMIENTO,1000-1500,100-200,20-25
5266,2000,03,CAUCA,CAJIBIO,DESLIZAMIENTO,1500-2000,200-300,15-20
5267,2012,09,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
5268,1998,06,MAGDALENA,SANTA MARTA,INUNDACION,0-500,0-100,25-30
5269,1999,01,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,0-100,20-25
5270,2011,06,CUNDINAMARCA,ANOLAIMA,VENDAVAL,1500-2000,0-100,15-20
5271,2001,02,TOLIMA,IBAGUE,INCENDIO FORESTAL,500-1000,0-100,25-30
5272,2010,03,NORTE DE SANTANDER,CUCUTA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
5273,2008,06,META,BARRANCA DE UPIA,INUNDACION,0-500,300-400,25-30
5274,2010,04,ATLANTICO,SOLEDAD,INUNDACION,0-500,0-100,25-30
5275,1999,02,BOYACA,PUERTO BOYACA,INUNDACION,0-500,100-200,25-30
5276,2010,07,CORDOBA,SAN CARLOS,INUNDACION,1000-1500,200-300,20-25
5277,2011,09,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,0-100,25-30
5278,2012,09,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
5279,2004,11,CHOCO,BOJAYA,INUNDACION,0-500,400-500,25-30
5280,2013,04,TOLIMA,ARMERO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
5281,2006,05,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
5282,2012,12,BOYACA,DUITAMA,INCENDIO FORESTAL,2500-3000,100-200,10-15
5283,2009,11,ANTIOQUIA,GRANADA,DESLIZAMIENTO,0-500,200-300,25-30
5284,2012,08,ANTIOQUIA,VALDIVIA,ACCIDENTE EN MINA,1000-1500,400-500,20-25
5285,2011,02,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,0-100,20-25
5286,2001,01,CUNDINAMARCA,MOSQUERA,INCENDIO FORESTAL,2500-3000,0-100,10-15
5287,2009,01,NORTE DE SANTANDER,SARDINATA,INUNDACION,0-500,0-100,25-30
5288,2011,01,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,500-600,25-30
