id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1542,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
1543,2011,10,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,100-200,20-25
1544,2003,02,NORTE DE SANTANDER,RAGONVALIA,INCENDIO FORESTAL,1500-2000,0-100,15-20
1545,2010,11,BOLIVAR,SANTA CATALINA,INUNDACION,0-500,100-200,25-30
1546,2001,04,ANTIOQUIA,MUTATA,VENDAVAL,0-500,300-400,25-30
1547,2010,11,CAUCA,FLORENCIA,DESLIZAMIENTO,0-500,200-300,25-30
1548,2004,10,BOYACA,PUERTO BOYACA,INUNDACION,0-500,200-300,25-30
1549,2011,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
1550,2005,05,CHOCO,LLORO,INUNDACION,0-500,700-800,25-30
1551,2009,05,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,200-300,25-30
1552,2010,10,TOLIMA,IBAGUE,COLAPSO,500-1000,100-200,20-25
1553,2011,02,NARINO,COLON,DESLIZAMIENTO,2000-2500,100-200,15-20
1554,2004,10,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
1555,2012,09,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
1556,2010,11,SANTANDER,RIONEGRO,INUNDACION,2000-2500,100-200,15-20
1557,2002,01,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
1558,2010,07,ANTIOQUIA,FRONTINO,INUNDACION,1000-1500,200-300,15-20
1559,2005,07,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
1560,2011,06,CUNDINAMARCA,CHOACHI,INUNDACION,3000-3500,100-200,5-10
1561,2012,05,ANTIOQUIA,VENECIA,INUNDACION,1500-2000,300-400,20-25
1562,2010,09,ANTIOQUIA,LA UNION,INUNDACION,2000-2500,300-400,10-15
1563,2012,10,SANTANDER,PINCHOTE,VENDAVAL,500-1000,100-200,20-25
1564,2010,04,META,VISTAHERMOSA,INUNDACION,0-500,300-400,25-30
1565,2012,10,ATLANTICO,BARRANQUILLA,MAREJADA,0-500,100-200,25-30
1566,2006,04,TOLIMA,COYAIMA,INUNDACION,0-500,200-300,25-30
1567,2005,04,BOLIVAR,MONTECRISTO,INUNDACION,0-500,200-300,25-30
1568,2002,10,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
1569,2000,06,CORDOBA,AYAPEL,INUNDACION,0-500,200-300,25-30
1570,2013,10,NARINO,PASTO,INCENDIO ESTRUCTURAL,2500-3000,100-200,10-15
1571,2005,09,CORDOBA,LORICA,INUNDACION,0-500,100-200,25-30
1572,2013,04,QUINDIO,ARMENIA,VENDAVAL,1000-1500,200-300,20-25
1573,2013,05,TOLIMA,MELGAR,INUNDACION,0-500,100-200,25-30
1574,2011,06,CUNDINAMARCA,MOSQUERA,VENDAVAL,2500-3000,0-100,10-15
1575,2011,04,NARINO,SAMANIEGO,DESLIZAMIENTO,1500-2000,100-200,15-20
1576,2010,01,CAUCA,TOTORO,HELADA,3000-3500,0-100,10-15
1577,2013,10,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
1578,2008,05,NORTE DE SANTANDER,RAGONVALIA,DESLIZAMIENTO,1500-2000,100-200,15-20
1579,2008,10,VALLE DEL CAUCA,YUMBO,INUNDACION,1500-2000,100-200,20-25
1580,1998,06,ARAUCA,SARAVENA,INUNDACION,0-500,400-500,20-25
1581,1998,07,META,PUERTO LLERAS,INUNDACION,0-500,200-300,20-25
1582,2008,10,BOLIVAR,VILLANUEVA,VENDAVAL,0-500,200-300,25-30
1583,2013,09,CAQUETA,FLORENCIA,DESLIZAMIENTO,0-500,200-300,20-25
1584,2008,11,ANTIOQUIA,RIONEGRO,INUNDACION,2000-2500,100-200,15-20
1585,2008,10,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,100-200,20-25
1586,2008,10,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
1587,2012,08,CORDOBA,BUENAVISTA,VENDAVAL,2000-2500,0-100,15-20
1588,2013,06,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
1589,2012,09,CAUCA,SOTARA,SISMO,2000-2500,0-100,10-15
1590,2011,11,CAQUETA,SAN JOSE DEL FRAGUA,INUNDACION,0-500,300-400,25-30
1591,2009,04,NARINO,PROVIDENCIA,DESLIZAMIENTO,0-500,0-100,25-30
1592,2007,11,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
1593,2013,04,HUILA,GIGANTE,INUNDACION,1500-2000,100-200,20-25
1594,2002,02,CAUCA,PATIA,SEQUIA,500-1000,100-200,25-30
1595,2010,10,QUINDIO,CALARCA,INUNDACION,1000-1500,200-300,15-20
1596,2008,11,TOLIMA,FLANDES,INUNDACION,0-500,100-200,25-30
1597,2013,09,TOLIMA,ARMERO,INUNDACION,0-500,100-200,25-30
1598,2012,04,HUILA,SAN AGUSTIN,VENDAVAL,1500-2000,100-200,15-20
1599,2011,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
1600,2013,04,ANTIOQUIA,BELLO,INCENDIO FORESTAL,1000-1500,100-200,20-25
1601,2012,12,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,0-100,20-25
1602,2008,09,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
1603,2004,10,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
1604,2009,01,CAUCA,MIRANDA,DESLIZAMIENTO,1000-1500,100-200,20-25
1605,2006,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
1606,2001,02,CESAR,MANAURE,INCENDIO FORESTAL,0-500,0-100,25-30
1607,2009,07,CUNDINAMARCA,YACOPI,VENDAVAL,1000-1500,100-200,20-25
1608,2009,07,LA GUAJIRA,DIBULLA,COLAPSO,0-500,0-100,25-30
1609,2012,01,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
1610,2010,12,ATLANTICO,MANATI,INUNDACION,0-500,0-100,25-30
1611,2005,11,CORDOBA,AYAPEL,INUNDACION,0-500,100-200,25-30
1612,2012,04,TOLIMA,IBAGUE,INUNDACION,500-1000,200-300,20-25
1613,2009,04,SANTANDER,PUERTO WILCHES,VENDAVAL,0-500,200-300,25-30
1614,2007,05,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
1615,2012,04,CUNDINAMARCA,SUTATAUSA,INUNDACION,2500-3000,0-100,10-15
1616,2006,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
1617,2012,07,CAQUETA,SAN JOSE DEL FRAGUA,VENDAVAL,0-500,300-400,20-25
1618,2008,11,TOLIMA,HONDA,INUNDACION,0-500,200-300,25-30
1619,2007,04,VALLE DEL CAUCA,ARGELIA,VENDAVAL,1500-2000,100-200,20-25
1620,2013,03,CAQUETA,FLORENCIA,VENDAVAL,0-500,300-400,25-30
1621,2007,11,VALLE DEL CAUCA,CALI,INUNDACION,500-1000,100-200,20-25
1622,2008,05,CAUCA,MERCADERES,INUNDACION,500-1000,100-200,25-30
1623,2012,08,LA GUAJIRA,RIOHACHA,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
1624,2013,05,SANTANDER,LANDAZURI,AVALANCHA,1000-1500,300-400,20-25
1625,2007,11,ATLANTICO,SOLEDAD,INUNDACION,0-500,0-100,25-30
1626,2004,11,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,600-700,25-30
